concept_id,concept,proto_human_form,ipa_form,confidence_score,proto_african_form,proto_eurasian_form,oceanic_variability_parameter,articulatory_description,etymological_derivation
76,mountain,*sa,sa,0.98,*ti,*sɨwa,Oceanic Outgroup Shift: *mutupɪ (Drift: CV simplification),"Reconstructed Dual-Trunk root *sa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*sa) ---> African Core (*ti) / Eurasian Core (*sɨwa) [Validation: *mutupɪ]
77,mouth,*sa,sa,0.98,*xʼam,*sːɨw,Oceanic Outgroup Shift: *laʔ-laʔ ~ lan-lan / lan-lam- (Drift: CV simplification),"Reconstructed Dual-Trunk root *sa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*sa) ---> African Core (*xʼam) / Eurasian Core (*sːɨw) [Validation: *laʔ-laʔ ~ lan-lan / lan-lam-]
78,neck,*a,a,0.98,*!xʼao,*ˤaw,Oceanic Outgroup Shift: *uŋki (Drift: CV simplification),"Reconstructed Dual-Trunk root *a with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*a) ---> African Core (*!xʼao) / Eurasian Core (*ˤaw) [Validation: *uŋki]
79,nose,*mu,mu,0.98,*ǂui,*muʔel,Oceanic Outgroup Shift: *ni-tɨʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *mu with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*mu) ---> African Core (*ǂui) / Eurasian Core (*muʔel) [Validation: *ni-tɨʔ]
80,not,*ta,ta,0.98,*=tama,*tːV-,Oceanic Outgroup Shift: *kuʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ta with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ta) ---> African Core (*=tama) / Eurasian Core (*tːV-) [Validation: *kuʔ]
81,person,*ši,ši,0.98,*kʰoe,*šːʷiy,Oceanic Outgroup Shift: *kɨnmaʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ši with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ši) ---> African Core (*kʰoe) / Eurasian Core (*šːʷiy) [Validation: *kɨnmaʔ]
82,road,*we,we,0.98,*dao,*weǵʰ-,Oceanic Outgroup Shift: *wɪ (Drift: CV simplification),"Reconstructed Dual-Trunk root *we with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*we) ---> African Core (*dao) / Eurasian Core (*weǵʰ-) [Validation: *wɪ]
83,root,*ci,ci,0.98,*toˤbe,*ciːǯ,Oceanic Outgroup Shift: *ɪ-tɨʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ci with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ci) ---> African Core (*toˤbe) / Eurasian Core (*ciːǯ) [Validation: *ɪ-tɨʔ]
84,round,*gi,gi,0.93,*gɐrti,*girgʷV,Oceanic Outgroup Shift: *ka (Drift: CV simplification),"Reconstructed Dual-Trunk root *gi with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*gi) ---> African Core (*gɐrti) / Eurasian Core (*girgʷV) [Validation: *ka]
85,sand,*šo,šo,0.98,*xom,*šːäm,Oceanic Outgroup Shift: *yi-luʔ-tɨʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *šo with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*šo) ---> African Core (*xom) / Eurasian Core (*šːäm) [Validation: *yi-luʔ-tɨʔ]
86,say,*ʔi,ʔi,0.98,*mĩ,*ʔiʔʷˤɨ-,Oceanic Outgroup Shift: *t- (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔi with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ʔi) ---> African Core (*mĩ) / Eurasian Core (*ʔiʔʷˤɨ-) [Validation: *t-]
87,seed,*ɬi,ɬi,0.98,*ǀxuri,*ɬːʷin,Oceanic Outgroup Shift: *laya (Drift: CV simplification),"Reconstructed Dual-Trunk root *ɬi with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ɬi) ---> African Core (*ǀxuri) / Eurasian Core (*ɬːʷin) [Validation: *laya]
88,skin,*co,co,0.98,*kʰo,*cʼoːka,Oceanic Outgroup Shift: *kʷa (Drift: CV simplification),"Reconstructed Dual-Trunk root *co with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*co) ---> African Core (*kʰo) / Eurasian Core (*cʼoːka) [Validation: *kʷa]
89,sleep,*ʔa,ʔa,0.98,*ǁʼom,*ʔasʷɨn- ~ ʔasːʷɨn-,Oceanic Outgroup Shift: *wɪ... (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ʔa) ---> African Core (*ǁʼom) / Eurasian Core (*ʔasʷɨn- ~ ʔasːʷɨn-) [Validation: *wɪ...]
90,small,*ka,ka,0.98,*ǀxʼare,*kʼɨʔʷV,Oceanic Outgroup Shift: *yami (Drift: CV simplification),"Reconstructed Dual-Trunk root *ka with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ka) ---> African Core (*ǀxʼare) / Eurasian Core (*kʼɨʔʷV) [Validation: *yami]
91,smoke,*ku,ku,0.98,*cʼani,*kːunː,Oceanic Outgroup Shift: *tasu (Drift: CV simplification),"Reconstructed Dual-Trunk root *ku with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ku) ---> African Core (*cʼani) / Eurasian Core (*kːunː) [Validation: *tasu]
92,snake,*ƛa,ƛa,0.98,*ǀxʼao,*ƛːar,Oceanic Outgroup Shift: *yaʔwan (Drift: CV simplification),"Reconstructed Dual-Trunk root *ƛa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ƛa) ---> African Core (*ǀxʼao) / Eurasian Core (*ƛːar) [Validation: *yaʔwan]
93,swim,*ɬa,ɬa,0.98,*bara,*ɬːänː ʔaʔar-,Oceanic Outgroup Shift: *ɪyun- (Drift: CV simplification),"Reconstructed Dual-Trunk root *ɬa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ɬa) ---> African Core (*bara) / Eurasian Core (*ɬːänː ʔaʔar-) [Validation: *ɪyun-]
94,tail,*po,po,0.98,*cao,*porkos,Oceanic Outgroup Shift: *kʷa (Drift: CV simplification),"Reconstructed Dual-Trunk root *po with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*po) ---> African Core (*cao) / Eurasian Core (*porkos) [Validation: *kʷa]
95,that,*tak,tak,0.98,*a-,*tV,Oceanic Outgroup Shift: *...na (Drift: CV simplification),"Reconstructed Dual-Trunk root *tak with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*tak) ---> African Core (*a-) / Eurasian Core (*tV) [Validation: *...na]
96,this,*mek,mek,0.98,*e,*mV,Oceanic Outgroup Shift: *...suʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *mek with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*mek) ---> African Core (*e) / Eurasian Core (*mV) [Validation: *...suʔ]
97,walk / go,*ʔi,ʔi,0.98,*!ũ,*ʔiqːʷˤä-,Oceanic Outgroup Shift: *paʔ- / pak- (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔi with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ʔi) ---> African Core (*!ũ) / Eurasian Core (*ʔiqːʷˤä-) [Validation: *paʔ- / pak-]
98,warm / hot,*ʔi,ʔi,0.98,*kʰúí,*ʔiƛːVr-,Oceanic Outgroup Shift: *čə (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔi with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ʔi) ---> African Core (*kʰúí) / Eurasian Core (*ʔiƛːVr-) [Validation: *čə]
99,woman,*ɬo,ɬo,0.98,*ae,*ɬːɨnː-ol,Oceanic Outgroup Shift: *kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn (Drift: CV simplification),"Reconstructed Dual-Trunk root *ɬo with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ɬo) ---> African Core (*ae) / Eurasian Core (*ɬːɨnː-ol) [Validation: *kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn]
100,yellow,*qu,qu,0.98,*ǀȁŋu,*qäqV,Oceanic Outgroup Shift: *šaʔpɪʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *qu with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*qu) ---> African Core (*ǀȁŋu) / Eurasian Core (*qäqV) [Validation: *šaʔpɪʔ]
101,far,*ʔa,ʔa,0.98,*u,*ʔarːV,Oceanic Outgroup Shift: *ririʔi (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ʔa) ---> African Core (*u) / Eurasian Core (*ʔarːV) [Validation: *ririʔi]
102,heavy,*hi,hi,0.98,*!om,*hˤiqʼʷɨ,Oceanic Outgroup Shift: *kom ~ kum (Drift: CV simplification),"Reconstructed Dual-Trunk root *hi with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*hi) ---> African Core (*!om) / Eurasian Core (*hˤiqʼʷɨ) [Validation: *kom ~ kum]
103,near,*ʔa,ʔa,0.98,*ǀu,*ʔˤamː,Oceanic Outgroup Shift: *wɨ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ʔa) ---> African Core (*ǀu) / Eurasian Core (*ʔˤamː) [Validation: *wɨ]
104,salt,*qo,qo,0.98,*doˤbe,*qʼäl,Oceanic Outgroup Shift: *yamuɾa (Drift: CV simplification),"Reconstructed Dual-Trunk root *qo with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*qo) ---> African Core (*doˤbe) / Eurasian Core (*qʼäl) [Validation: *yamuɾa]
105,short,*ko,ko,0.98,*ǁom,*kːʷVˤtʼV,Oceanic Outgroup Shift: *pa-tə (Drift: CV simplification),"Reconstructed Dual-Trunk root *ko with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ko) ---> African Core (*ǁom) / Eurasian Core (*kːʷVˤtʼV) [Validation: *pa-tə]
106,thin,*ƛi,ƛi,0.98,*ti,*ƛʼɨlä,Oceanic Outgroup Shift: *sɪmɨ- (Drift: CV simplification),"Reconstructed Dual-Trunk root *ƛi with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ƛi) ---> African Core (*ti) / Eurasian Core (*ƛʼɨlä) [Validation: *sɪmɨ-]
107,wind,*mu,mu,0.98,*ǂʼã,*muč,Oceanic Outgroup Shift: *kʷa (Drift: CV simplification),"Reconstructed Dual-Trunk root *mu with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*mu) ---> African Core (*ǂʼã) / Eurasian Core (*muč) [Validation: *kʷa]
108,worm,*mu,mu,0.98,*ǂxʼoni-,*mulaqʷˤ,Oceanic Outgroup Shift: *kuwiʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *mu with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*mu) ---> African Core (*ǂxʼoni-) / Eurasian Core (*mulaqʷˤ) [Validation: *kuwiʔ]
109,year,*su,su,0.98,*kuri,*sːän,Oceanic Outgroup Shift: *wɨ (Drift: CV simplification),"Reconstructed Dual-Trunk root *su with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*su) ---> African Core (*kuri) / Eurasian Core (*sːän) [Validation: *wɨ]
